question,answer,source_page
What are the primary functions of essential harness primitives like sandboxes and the filesystem?,"The filesystem provides the foundational primitive, giving the agent a durable workspace to store and retrieve data, allowing it to coordinate work across multiple agents and humans. Sandboxes build upon this by providing an isolated operating environment. They ensure that code execution is safe, scalable, and can be controlled by the harness, regardless of the local machine's security.",https://addyosmani.com/blog/agent-harness-engineering/
How do advanced context management techniques like compaction and progressive disclosure help maintain agent performance during long tasks?,"These techniques address the issue of 'context rot,' where model reasoning degrades as the context window fills up. Compaction intelligently summarizes and offloads older context to keep the agent working, while progressive disclosure prevents performance degradation by only loading tools or skills when the task explicitly requires them. Together, they ensure the model has the most relevant information available.",https://addyosmani.com/blog/agent-harness-engineering/
What is the role of a 'hook' in the context of building a reliable agent harness?,"A hook is a critical script that runs automatically at specific lifecycle points within the agent's execution (e.g., before a tool call or after a file edit). They serve as an enforcement layer, ensuring that the agent adheres to required standards. Hooks can run typechecks, linting, or tests after every edit, making sure that failures are immediately surfaced and addressed by the agent.",https://addyosmani.com/blog/agent-harness-engineering/
Why is it beneficial to separate the generation of code from the evaluation of code when building complex agents?,"The article suggests that separating these roles into distinct agents (a generator and an evaluator) outperforms self-evaluation. This is because agents have a tendency to skew positive when grading their own work. By having a separate evaluator, the system creates a more rigorous, objective check, much like having a human reviewer.",https://addyosmani.com/blog/agent-harness-engineering/
What is the significance of the 'Harness-as-a-Service' (HaaS) trend in the industry?,"HaaS signifies a shift in development focus, moving from building on simple LLM APIs (which provide just a completion) to building on complex harness APIs (which provide a full runtime). This means developers can access the entire loop, tools, context management, and sandbox primitives out of the box. This allows developers to focus their efforts on domain-specific prompt and tool design rather than building the entire agent infrastructure from scratch.",https://addyosmani.com/blog/agent-harness-engineering/
What does the concept of 'ratcheting' mean in the discipline of harness engineering?,"Ratcheting is the practice of treating every mistake made by the agent as a permanent, actionable signal for improvement. Instead of dismissing errors, the engineer updates the harness—by adding a rule to the prompt or a pre-commit hook—to ensure that the specific failure never happens again. This process builds a codebase of constraints based on empirical failure history.",https://addyosmani.com/blog/agent-harness-engineering/
"In the context of agent development, what is the difference between a 'discipline' and a 'framework' when discussing harnesses?","A framework is a set of pre-built tools or structures, while a discipline is a mindset and a set of practices. Harness engineering is a discipline because the right harness is not something that can simply be downloaded; it must be shaped by the unique failure history and specific requirements of the codebase. It requires an iterative, disciplined approach to problem-solving.",https://addyosmani.com/blog/agent-harness-engineering/
"According to the author, what fundamental gap do AI coding agents typically exhibit when compared to a senior human engineer?","AI coding agents are designed to take the quickest path to completion, often resulting in them skipping critical, non-visible steps. These overlooked tasks include writing specifications, creating tests before implementation, considering trust boundaries, and structuring the change for human review. The agents produce code and declare victory without completing the necessary engineering rigor.",https://addyosmani.com/blog/agent-skills/
How does the author define an 'agent skill' and what is the critical difference between a skill and reference documentation?,"A skill is defined as a markdown file with frontmatter that is injected into the agent's context when needed; it functions somewhere between a system-prompt fragment and a runbook. Crucially, a skill is a defined workflow—a sequence of steps with checkpoints and an exit criterion—rather than a simple body of knowledge. While an essay on best practices is passive, a skill forces the agent to execute a verifiable process.",https://addyosmani.com/blog/agent-skills/
Why does the author emphasize 'Process over prose' when discussing technical documentation and workflows?,"The core argument is that workflows are actionable for an agent, while lengthy written essays are not. If an agent is given a massive document detailing best practices, it may simply generate plausible-looking text without performing actual testing or work. By contrast, a workflow provides concrete steps, checkpoints, and measurable actions that the agent must follow to reach a defined exit criterion.",https://addyosmani.com/blog/agent-skills/
What purpose do 'anti-rationalization tables' serve within the agent skills framework?,"Anti-rationalization tables are a unique design feature that pairs common excuses—used by both agents and tired engineers—with explicit rebuttals. Their purpose is to counteract the LLM's natural tendency to rationalize why a task is too simple or why a step can be skipped. By pre-writing rebuttals to potential lies, the system prevents the agent from justifying poor engineering practice.",https://addyosmani.com/blog/agent-skills/
"What are the six lifecycle phases encoded within the agent skills, and what does this structure represent?","The twenty skills are organized around six phases: Define (/spec), Plan (/plan), Build (/build), Verify (/test), Review (/review), and Ship (/ship). This structure is not arbitrary; it mirrors the standard Software Development Lifecycle (SDLC) that all functioning engineering organizations use. These phases represent the necessary, sequential steps for safely shipping reliable software.",https://addyosmani.com/blog/agent-skills/
"Why is 'Verification is non-negotiable' a core principle in the skills, and what does it require of the agent?","Verification is non-negotiable because the agent is fundamentally a generator, and therefore needs a separate signal to confirm work completion. Every skill must terminate by producing concrete evidence, such as a green test run, clean build output, or a signed-off review. Without this hard evidence, the process is incomplete, and simply stating that something 'seems right' is insufficient proof.",https://addyosmani.com/blog/agent-skills/
"Conceptually, what is 'progressive disclosure' in the context of agent skills, and why is it important for performance?","Progressive disclosure means not loading all available skills into the agent's context at the start of a session. Instead, a small router skill determines which specific, relevant skill is needed for the current task and activates only that one. This technique is vital because loading excessive tokens into the context window can degrade the model's overall performance and efficiency.",https://addyosmani.com/blog/agent-skills/
"What is the principle of 'Scope discipline' in agent engineering, and why is it critical for mergeable code?","Scope discipline mandates that the agent only 'touches' the files and code areas that were specifically requested for modification. It prevents the agent from making unrelated refactorings or modernizing adjacent systems that are outside the current scope. This principle is crucial because large, out-of-scope changes significantly increase the risk of introducing bugs and often results in pull requests that cannot be merged.",https://addyosmani.com/blog/agent-skills/
"How do the skills encode established industry best practices, specifically referencing Google's methodologies?","The skills are intentionally saturated with established practices, such as Hyrum’s Law for API design, the test pyramid, and Google’s code review norms. This is because the most effective engineering practices are often documented and public, yet they are precisely the steps that AI agents are most likely to skip by default. The skills force the agent to apply this accumulated human knowledge.",https://addyosmani.com/blog/agent-skills/
How does the required rigor of skills change when dealing with long-running agents compared to short chat-style interactions?,"Skills are exponentially more important for long-running agents because long processes amplify the impact of every shortcut. In a short session, an agent skipping a test might only create one bug. However, in a lengthy, multi-hour session, that same skipped test could lead to a massive, complex 'debugging archaeology project' when the original intent of the code is no longer clear to anyone.",https://addyosmani.com/blog/agent-skills/
"What is Agentic Engine Optimization (AEO), and why is it necessary for modern developer portals?","AEO is the practice of structuring, formatting, and serving technical documentation specifically so that AI coding agents can utilize the content. It is necessary because AI agents interact with documentation in ways fundamentally different from human readers, often bypassing traditional UI elements and analytics funnels.",https://addyosmani.com/blog/agentic-engine-optimization/
How does an AI coding agent consume documentation differently from a human developer?,"Unlike a human who navigates via clicking and spending minutes on the site, an agent typically compresses multi-page navigation into one or two HTTP requests. This means the agent issues a single GET request, receiving the full page content, which renders traditional client-side analytics events like scroll depth and time-on-page invisible.",https://addyosmani.com/blog/agentic-engine-optimization/
Why is 'token count' now considered a first-class documentation metric?,"AI agents operate with practical context window limits, typically between 100K–200K tokens. If a document exceeds this limit, the agent may silently truncate the content, skip the document entirely, or hallucinate a solution, making token count a crucial metric for ensuring the content is usable.",https://addyosmani.com/blog/agentic-engine-optimization/
"What is the role of `robots.txt` in the context of AEO, and what happens if it is misconfigured?","The `robots.txt` file serves as the agent's first point of access control, determining what content it is allowed to fetch. If it is misconfigured to block known AI agent user-agents, the documentation can become entirely invisible to the agents without generating any visible errors or traffic.",https://addyosmani.com/blog/agentic-engine-optimization/
How is `llms.txt` intended to improve documentation discoverability for AI agents?,"`llms.txt` functions as a structured sitemap specifically for AI agents, providing a flat, Markdown-formatted directory of the documentation. This allows agents to figure out which resources are relevant without having to crawl the entire, potentially massive, site structure.",https://addyosmani.com/blog/agentic-engine-optimization/
What is the conceptual distinction between `llms.txt` and `skill.md` in the AEO stack?,"`llms.txt` addresses discoverability by telling agents *where* the content is located. In contrast, `skill.md` tells agents *what* the product can actually do. It declaratively surfaces the API's capabilities, mapping intentions to endpoints and resources, allowing agents to assess if a task is possible before reading documentation.",https://addyosmani.com/blog/agentic-engine-optimization/
"When structuring documentation for agent parsing, what formatting changes are recommended over traditional HTML?","It is recommended to serve raw Markdown instead of rendered HTML, as Markdown has significantly lower token overhead and is less cluttered by noise. Furthermore, the structure should be optimized for scanning, using consistent headings and placing code examples immediately after the claim they illustrate.",https://addyosmani.com/blog/agentic-engine-optimization/
How can a developer audit their server logs to detect the presence of AI agent traffic?,"Developers should monitor for distinct HTTP fingerprints associated with various agents, such as `axios/1.8.4` or `curl/8.4.0`. Additionally, tracking specific referral sources (like `chatgpt.com/organic` or `claude.ai/referral`) helps segment and measure the volume of AI-driven traffic.",https://addyosmani.com/blog/agentic-engine-optimization/
What is the purpose of the emerging `AGENTS.md` file in a code repository?,"Similar to how `README.md` guides human developers, `AGENTS.md` serves as the primary entry point for AI agents when they open a project. It should include critical information like project structure, direct links to relevant API documentation, and rate limits, guiding the agent's subsequent tasks.",https://addyosmani.com/blog/agentic-engine-optimization/
"According to the article, what are the biggest implications of AEO for developer experience design?","In an agent-heavy world, traditional assumptions about developer portals—such as progressive disclosure and visual hierarchy—are often irrelevant. Documentation must increasingly serve both audiences by being scannable for humans and machine-readable, token-efficient, and structured for autonomous AI agents.",https://addyosmani.com/blog/agentic-engine-optimization/
"What is 'vibe coding,' and in what contexts is it considered genuinely useful?","Vibe coding is a reckless programming method where a developer prompts an AI, accepts the output without reviewing the code, and iterates by pasting error messages back in. It is useful for greenfield MVPs, hackathon demos, or personal, one-off scripts where the goal is simply to get something working quickly, and code quality or scalability is not a concern.",https://addyosmani.com/blog/agentic-engineering/
How does the process of agentic engineering differ from the casual approach of 'vibe coding'?,"Agentic engineering is a disciplined workflow where the human acts as the architect, reviewer, and decision-maker, orchestrating AI agents. This process requires writing specifications and design documents upfront, reviewing every code diff, and maintaining rigorous test suites, unlike vibe coding which skips these foundational steps.",https://addyosmani.com/blog/agentic-engineering/
What are the key stages involved in the recommended agentic engineering workflow?,"The process begins by creating a detailed plan or specification, breaking the work into defined tasks, and establishing the architecture. Next, the human directs the AI agent to generate code, which is then subjected to intense review. Finally, the agent must iterate until a solid test suite passes, ensuring the human retains ownership of the codebase.",https://addyosmani.com/blog/agentic-engineering/
Why did the author suggest 'agentic engineering' as a professional term over alternatives like 'vibe engineering'?,"The term 'agentic engineering' is professionally legible and accurately describes the practice of orchestrating autonomous agents. It signals a serious, disciplined engineering process involving human oversight, avoiding the casual connotation that the word 'vibe' carries when discussing critical systems like payment infrastructure.",https://addyosmani.com/blog/agentic-engineering/
"According to the article, what is the single biggest differentiator between vibe coding and agentic engineering?","The single biggest differentiator is the focus on rigorous, comprehensive testing. In agentic engineering, the process requires a solid test suite, which allows the AI agent to iterate until tests pass, thereby giving high confidence in the result. Without these tests, the AI might declare 'done' on broken code.",https://addyosmani.com/blog/agentic-engineering/
What are the implications of relying on AI before developing fundamental engineering skills?,Junior developers who lean on AI without building fundamentals risk 'skill atrophy.' They may be able to generate code and ship features without truly understanding why certain patterns exist or how the system works. This creates a crisis where developers can prompt but cannot effectively debug or reason about the generated output.,https://addyosmani.com/blog/agentic-engineering/
How does the shift to AI-assisted development change the required skillset for senior engineers?,"The role of the engineer shifts from writing boilerplate code to becoming an architect, reviewer, and orchestrator. The premium moves from typing time to architectural thinking, security awareness, and system design. The human must be skilled enough to efficiently review and correct the AI's output.",https://addyosmani.com/blog/agentic-engineering/
Why does the author argue that AI-assisted development ultimately rewards good engineering practices?,"The text suggests that AI tools do not cause the problem; rather, skipping design thinking does. Better specifications lead to better AI output, and more comprehensive tests lead to higher confidence. Therefore, the tools simply amplify the quality of the underlying engineering process, not the lack thereof.",https://addyosmani.com/blog/agentic-engineering/
"In the context of professional development, what does 'agentic' refer to, and what does 'engineering' refer to?","The 'agentic' part refers to the ability to orchestrate autonomous agents, which are coding assistants capable of executing, testing, and refining code. The 'engineering' part signifies the application of formal engineering discipline, such as writing specs, maintaining quality, and ensuring correctness, throughout the entire process.",https://addyosmani.com/blog/agentic-engineering/
What does the author recommend regarding terminology moving forward in the field?,"The author advises practitioners to use terminology honestly. They should call the disciplined, human-oversight development 'agentic engineering,' while reserving 'vibe coding' only for the fun, reckless, prototyping-only version. Using one term for both causes confusion and damage.",https://addyosmani.com/blog/agentic-engineering/
"According to the article, what are the primary drawbacks of using auto-generated context files like AGENTS.md, and what specific penalty do they incur?","Auto-generated context files are problematic because they duplicate information that AI agents can already discover by reading the codebase. This redundancy acts as noise, increasing costs and slowing down agent performance. Specifically, one study found that these auto-generated files can inflate costs and reduce agent efficiency by 20% or more.",https://addyosmani.com/blog/agents-md/
"How does the article recommend treating AGENTS.md, and what is the main function of the file according to this 'living' mental model?","The recommended mental model is to treat AGENTS.md not as a permanent configuration, but as a living list of codebase smells that the developer has not yet fixed. Its primary function should be to signal specific, non-obvious friction points in the code that are confusing enough to trip an AI agent, indicating a deeper structural problem that needs resolution.",https://addyosmani.com/blog/agents-md/
"What structural improvement does the article propose for managing context in large, complex codebases, and why is this better than a single root-level file?","The article suggests moving away from a single root-level AGENTS.md file toward a hierarchy of context files. These files should be placed at the relevant directory or module level. This approach ensures that each agent receives context that is precisely scoped to the specific code it is working on, preventing the conflation of concerns across the entire project.",https://addyosmani.com/blog/agents-md/
What key difference did the ETH Zurich study reveal regarding LLM-generated context files compared to human-authored ones?,"The ETH Zurich paper found that while LLM-generated context files can improve performance when all documentation is stripped away, human-authored files are still highly valuable. Developer-written files provide real project-specific knowledge, such as non-obvious tooling requirements or actual gotchas, that save the agent time because it doesn't have to infer what it couldn't discover otherwise.",https://addyosmani.com/blog/agents-md/
"What is the 'anchoring effect' problem discussed in the context of AGENTS.md files, and why should developers be cautious about adding general architectural notes?","The anchoring effect occurs when mentioning a specific technology or pattern, like tRPC, causes the model to bias toward that pattern for every subsequent prompt. Developers must be cautious because LLMs treat stated context as gospel, even if that pattern is only used in legacy endpoints. This can mislead the agent about the current, actual best practices of the codebase.",https://addyosmani.com/blog/agents-md/
"What specific criteria should a developer use to determine if a piece of information belongs in AGENTS.md, and what type of information should be excluded?","A line should only be included if the agent cannot discover that information by simply reading the code itself. The information must also be operationally significant (changing the agent's commands) and impossible for the agent to guess correctly by convention. General descriptions, such as module explanations or directory structures, are considered noise because the agent can find those by default.",https://addyosmani.com/blog/agents-md/
"How does the ACE framework propose solving the static nature of AGENTS.md, and what is the benefit of this dynamic approach?","The ACE framework (Agentic Context Engineering) treats context not as a static file, but as an evolving playbook. It uses a generator/reflector/curator pipeline to adapt context on the fly. This dynamic approach was shown to outperform static methods on agent benchmarks by 12.3%, addressing the weakness of monolithic files that cannot condition on the type of task being performed.",https://addyosmani.com/blog/agents-md/
"What is the practical difference between what a human understands about a codebase and what an LLM actually needs to navigate it, according to the article?","The article suggests that the two are often different things. What seems obviously useful to a human—like stating a pattern such as 'this service uses the repository pattern'—might be noise to the LLM. Conversely, the model might actually need highly specific details, such as a particular import path disambiguation, which the human might overlook because they have internalized it.",https://addyosmani.com/blog/agents-md/
"In the context of building a superior context architecture, what are the three conceptual layers described, and what is the role of the maintenance subagent?","The ideal structure involves three layers: a Protocol file (acting as a routing document), Focused persona/skill files (loaded selectively based on task type), and a Maintenance subagent. The maintenance subagent's critical role is to keep the protocol file accurate as the codebase evolves, mitigating the problem of documentation 'rotting' over time.",https://addyosmani.com/blog/agents-md/
"What is the ultimate, high-level takeaway the article offers regarding the purpose of AGENTS.md, and what should the developer do when an agent repeatedly fails a task?","The ultimate takeaway is that AGENTS.md should function as a diagnostic tool rather than a permanent configuration. When an agent struggles repeatedly with a task, the developer should first treat it as a underlying codebase problem—such as restructuring the code or adding a linter rule—before relying on the context file to solve the issue.",https://addyosmani.com/blog/agents-md/
Why is a structured planning phase crucial when using LLMs for coding?,"Starting with a detailed plan is vital because it prevents vague prompts and wasted effort. Instead of immediately generating code, the workflow requires defining a comprehensive specification and breaking the solution into bite-sized, logical milestones. This upfront planning ensures both the human and the AI are aligned on the goal, making the subsequent coding process much smoother and more focused.",https://addyosmani.com/blog/ai-coding-workflow/
What is the recommended approach for managing scope when developing large applications with AI assistants?,"Developers should avoid asking the LLM for large, monolithic outputs, which often leads to inconsistency. The best practice is to break the project into small, iterative steps or tasks. By tackling these chunks one by one, the AI can handle the work within its context window, which minimizes the risk of the model getting confused or generating duplicated, jumbled code.",https://addyosmani.com/blog/ai-coding-workflow/
How does providing extensive context improve the quality of LLM-generated code?,"LLMs are only as good as the information provided to them, making 'context packing' a critical step. This involves feeding the AI not just the core code, but also technical constraints, API documentation, known pitfalls, and high-level goals. By giving the model all the necessary facts upfront, its output moves from guesswork to highly informed, accurate code that fits the project's specific needs.",https://addyosmani.com/blog/ai-coding-workflow/
What is the strategic benefit of using multiple coding LLMs during a workflow?,"Because no single model is perfect, advanced users should treat their LLMs like an arsenal and be prepared to swap models mid-stream. If one model struggles or provides mediocre results, trying another service can often rescue the process. This technique, sometimes called 'model musical chairs,' helps overcome a specific model's blind spots and increases the chances of finding the optimal solution.",https://addyosmani.com/blog/ai-coding-workflow/
Why must a human maintain oversight when using AI coding agents?,"It is critical never to blindly trust any LLM's output, as they can produce plausible-looking code that contains bugs or flaws. The human must treat every generated snippet with skepticism, running unit tests and manually reviewing the code line by line. This active verification process ensures that the quality remains high and that the developer remains accountable for the final software product.",https://addyosmani.com/blog/ai-coding-workflow/
How can developers integrate testing into the AI-assisted workflow?,"Testing should be woven into the development process itself, creating a tight feedback loop. After generating a code chunk, the developer should immediately instruct the AI to run the existing test suite or generate new tests for the specific feature. This practice amplifies the AI’s usefulness, as the tests act as a safety net, allowing the agent to confidently fix bugs and ensure the code functions as intended.",https://addyosmani.com/blog/ai-coding-workflow/
What are 'AI-native' advanced workflows for managing parallel experimentation?,"One advanced technique is using dedicated git worktrees or branches to isolate AI experiments. This allows a developer to run multiple, independent AI coding sessions on the same repository without the changes interfering with each other. If an experiment fails or goes wrong, the developer can simply discard the worktree, preserving the stability of the main codebase.",https://addyosmani.com/blog/ai-coding-workflow/
What is the primary advantage of treating LLMs as powerful pair programmers rather than autonomous coders?,"Viewing the LLM as an assistant, rather than a fully autonomous entity, maintains human accountability and critical oversight. This mindset ensures the human remains the senior developer, guiding the AI's actions and understanding the resulting code. This approach not only improves code quality but also protects the developer's own skills and judgment.",https://addyosmani.com/blog/ai-coding-workflow/
Why does the author advocate for ultra-granular version control habits when coding with AI?,"The author treats commits as 'save points in a game' — after each small task or successful automated edit, a commit is made so that if an AI suggestion introduces a bug, there is a recent checkpoint to revert to. Beyond rollback safety, the git history becomes a valuable log that can brief both the developer and the AI on what changed, since LLMs are effective at parsing diffs and even using git bisect to locate introduced bugs. The guiding rule is: never commit code you cannot explain.",https://addyosmani.com/blog/ai-coding-workflow/
What technical utilities can bridge the gap between static code analysis and live debugging when using AI?,"Tools like the Chrome DevTools MCP can be used to give AI agents 'eyes' into the live browser. These utilities grant the AI direct access to inspect the DOM, analyze rich performance traces, or view network logs. This integration is vital because it allows for the diagnosis and fixing of bugs with high precision based on actual runtime data, eliminating the friction of manual context switching.",https://addyosmani.com/blog/ai-coding-workflow/
"According to the article, how should 'bias toward action' be defined if it is not about being reckless?","Bias toward action is defined as defaulting to the smallest responsible step that generates real feedback. It involves making pre-commitments and establishing guardrails so that if something fails, the negative consequences are survivable and easily corrected. The core principle is optimizing for learning speed while mitigating risk.",https://addyosmani.com/blog/bias-towards-action/
"How do fast-moving teams approach decision-making and information gathering, according to research cited in the article?","Fast decision-makers do not wait for perfect information, but they are also not reckless. Studies show they use more information than slow teams by developing multiple alternatives and improving advice processes. They are comfortable making decisions with around 70% of the necessary knowledge and then shipping a small version to learn from the outcome.",https://addyosmani.com/blog/bias-towards-action/
What is the highest-leverage technique for minimizing risk when making major decisions?,"The highest-leverage move is designing decisions to be reversible, converting what might otherwise be a one-way door into a two-way door. This framework allows teams to test new ideas and features without the permanent, irreversible consequence. Asking, 'Can I make this reversible?' should be a key consideration before proceeding.",https://addyosmani.com/blog/bias-towards-action/
How do error budgets change the conversation between product and engineering teams regarding speed and stability?,"Error budgets replace philosophical debates about speed versus quality with objective, measurable thresholds based on Service Level Objectives (SLOs). The rule is simple: if the service is within its error budget, teams are encouraged to continue shipping features. However, if the budget is depleted, all feature shipping must halt until reliability issues are fixed.",https://addyosmani.com/blog/bias-towards-action/
What is the safest deployment strategy for minimizing the 'blast radius' of potential errors?,"The safest method is shipping to production multiple times at increasing traffic percentages, rather than performing a single, large-scale 'big-bang' deployment. This approach ensures that if a mistake occurs, only a small subset of users is affected for a short time. This is often achieved by using techniques like canarying and feature flags.",https://addyosmani.com/blog/bias-towards-action/
